sk_tempo;nr_mes;nr_ano;dt_data
12018;1;2018;2018-01-01
12019;1;2019;2019-01-01
12020;1;2020;2020-01-01
12021;1;2021;2021-01-01
12022;1;2022;2022-01-01
12023;1;2023;2023-01-01
12024;1;2024;2024-01-01
22018;2;2018;2018-02-01
22019;2;2019;2019-02-01
22020;2;2020;2020-02-01
22021;2;2021;2021-02-01
22022;2;2022;2022-02-01
22023;2;2023;2023-02-01
22024;2;2024;2024-02-01
32018;3;2018;2018-03-01
32019;3;2019;2019-03-01
32020;3;2020;2020-03-01
32021;3;2021;2021-03-01
32022;3;2022;2022-03-01
32023;3;2023;2023-03-01
32024;3;2024;2024-03-01
42018;4;2018;2018-04-01
42019;4;2019;2019-04-01
42020;4;2020;2020-04-01
42021;4;2021;2021-04-01
42022;4;2022;2022-04-01
42023;4;2023;2023-04-01
42024;4;2024;2024-04-01
52018;5;2018;2018-05-01
52019;5;2019;2019-05-01
52020;5;2020;2020-05-01
52021;5;2021;2021-05-01
52022;5;2022;2022-05-01
52023;5;2023;2023-05-01
52024;5;2024;2024-05-01
62018;6;2018;2018-06-01
62019;6;2019;2019-06-01
62020;6;2020;2020-06-01
62021;6;2021;2021-06-01
62022;6;2022;2022-06-01
62023;6;2023;2023-06-01
62024;6;2024;2024-06-01
72018;7;2018;2018-07-01
72019;7;2019;2019-07-01
72020;7;2020;2020-07-01
72021;7;2021;2021-07-01
72022;7;2022;2022-07-01
72023;7;2023;2023-07-01
72024;7;2024;2024-07-01
82018;8;2018;2018-08-01
82019;8;2019;2019-08-01
82020;8;2020;2020-08-01
82021;8;2021;2021-08-01
82022;8;2022;2022-08-01
82023;8;2023;2023-08-01
82024;8;2024;2024-08-01
92018;9;2018;2018-09-01
92019;9;2019;2019-09-01
92020;9;2020;2020-09-01
92021;9;2021;2021-09-01
92022;9;2022;2022-09-01
92023;9;2023;2023-09-01
92024;9;2024;2024-09-01
102018;10;2018;2018-10-01
102019;10;2019;2019-10-01
102020;10;2020;2020-10-01
102021;10;2021;2021-10-01
102022;10;2022;2022-10-01
102023;10;2023;2023-10-01
102024;10;2024;2024-10-01
112018;11;2018;2018-11-01
112019;11;2019;2019-11-01
112020;11;2020;2020-11-01
112021;11;2021;2021-11-01
112022;11;2022;2022-11-01
112023;11;2023;2023-11-01
112024;11;2024;2024-11-01
122018;12;2018;2018-12-01
122019;12;2019;2019-12-01
122020;12;2020;2020-12-01
122021;12;2021;2021-12-01
122022;12;2022;2022-12-01
122023;12;2023;2023-12-01
122024;12;2024;2024-12-01
