sk_ocupacao;cd_ocupacao;ds_ocupacao;dt_carga
453;223915;psicomotricista;2025-09-30 00:47:30
454;224105;avaliador físico;2025-09-30 00:47:30
455;224110;ludomotricista;2025-09-30 00:47:30
456;224115;preparador de atleta;2025-09-30 00:47:30
457;224120;preparador físico;2025-09-30 00:47:30
458;224125;técnico de desporto individual e coletivo (exceto futebol);2025-09-30 00:47:30
459;224130;técnico de laboratório e fiscalização desportiva;2025-09-30 00:47:30
460;224135;treinador profissional de futebol;2025-09-30 00:47:30
461;224140;profissional de educação física na saúde;2025-09-30 00:47:30
462;225103;médico infectologista;2025-09-30 00:47:30
463;225105;médico acupunturista;2025-09-30 00:47:30
464;225106;médico legista;2025-09-30 00:47:30
465;225109;médico nefrologista;2025-09-30 00:47:30
466;225110;médico alergista e imunologista;2025-09-30 00:47:30
467;225112;médico neurologista;2025-09-30 00:47:30
468;225115;médico angiologista;2025-09-30 00:47:30
469;225118;médico nutrologista;2025-09-30 00:47:30
470;225120;médico cardiologista;2025-09-30 00:47:30
471;225121;médico oncologista clínico;2025-09-30 00:47:30
472;225122;médico cancerologista pediátrico;2025-09-30 00:47:30
473;225124;médico pediatra;2025-09-30 00:47:30
474;225125;médico clínico;2025-09-30 00:47:30
475;225127;médico pneumologista;2025-09-30 00:47:30
476;225130;médico de família e comunidade;2025-09-30 00:47:30
477;225133;médico psiquiatra;2025-09-30 00:47:30
478;225135;médico dermatologista;2025-09-30 00:47:30
479;225136;médico reumatologista;2025-09-30 00:47:30
480;225139;médico sanitarista;2025-09-30 00:47:30
481;225140;médico do trabalho;2025-09-30 00:47:30
482;225142;médico da estratégia de saúde da família;2025-09-30 00:47:30
483;225145;médico em medicina de tráfego;2025-09-30 00:47:30
484;225148;médico anatomopatologista;2025-09-30 00:47:30
485;225150;médico em medicina intensiva;2025-09-30 00:47:30
486;225151;médico anestesiologista;2025-09-30 00:47:30
487;225154;médico antroposófico;2025-09-30 00:47:30
488;225155;médico endocrinologista e metabologista;2025-09-30 00:47:30
489;225160;médico fisiatra;2025-09-30 00:47:30
490;225165;médico gastroenterologista;2025-09-30 00:47:30
491;225170;médico generalista;2025-09-30 00:47:30
492;225175;médico geneticista;2025-09-30 00:47:30
493;225180;médico geriatra;2025-09-30 00:47:30
494;225185;médico hematologista;2025-09-30 00:47:30
495;225195;médico homeopata;2025-09-30 00:47:30
496;225203;médico em cirurgia vascular;2025-09-30 00:47:30
497;225210;médico cirurgião cardiovascular;2025-09-30 00:47:30
498;225215;médico cirurgião de cabeça e pescoço;2025-09-30 00:47:30
499;225220;médico cirurgião do aparelho digestivo;2025-09-30 00:47:30
500;225225;médico cirurgião geral;2025-09-30 00:47:30
501;225230;médico cirurgião pediátrico;2025-09-30 00:47:30
502;225235;médico cirurgião plástico;2025-09-30 00:47:30
503;225240;médico cirurgião torácico;2025-09-30 00:47:30
504;225250;médico ginecologista e obstetra;2025-09-30 00:47:30
505;225255;médico mastologista;2025-09-30 00:47:30
506;225260;médico neurocirurgião;2025-09-30 00:47:30
507;225265;médico oftalmologista;2025-09-30 00:47:30
508;225270;médico ortopedista e traumatologista;2025-09-30 00:47:30
509;225275;médico otorrinolaringologista;2025-09-30 00:47:30
510;225280;médico coloproctologista;2025-09-30 00:47:30
511;225285;médico urologista;2025-09-30 00:47:30
512;225290;médico cancerologista cirurgíco;2025-09-30 00:47:30
513;225295;médico cirurgião da mão;2025-09-30 00:47:30
514;225305;médico citopatologista;2025-09-30 00:47:30
515;225310;médico em endoscopia;2025-09-30 00:47:30
516;225315;médico em medicina nuclear;2025-09-30 00:47:30
517;225320;médico em radiologia e diagnóstico por imagem;2025-09-30 00:47:30
518;225325;médico patologista;2025-09-30 00:47:30
519;225330;médico radioterapeuta;2025-09-30 00:47:30
520;225335;médico patologista clínico / medicina laboratorial;2025-09-30 00:47:30
521;225340;médico hemoterapeuta;2025-09-30 00:47:30
522;225345;médico hiperbarista;2025-09-30 00:47:30
523;225350;médico neurofisiologista clínico;2025-09-30 00:47:30
524;225355;médico radiologista intervencionista;2025-09-30 00:47:30
525;226105;quiropraxista;2025-09-30 00:47:30
526;226110;osteopata;2025-09-30 00:47:30
527;226305;musicoterapeuta;2025-09-30 00:47:30
528;226310;arteterapeuta;2025-09-30 00:47:30
529;226315;equoterapeuta;2025-09-30 00:47:30
530;226320;naturólogo;2025-09-30 00:47:30
531;231105;professor de nível superior na educação infantil (quatro a seis anos);2025-09-30 00:47:30
532;231110;professor de nível superior na educação infantil (zero a três anos);2025-09-30 00:47:30
533;231205;professor da  educação de jovens e adultos do ensino fundamental (primeira a quarta série);2025-09-30 00:47:30
534;231210;professor de nível superior do ensino fundamental (primeira a quarta série);2025-09-30 00:47:30
535;231305;professor de ciências exatas e naturais do ensino fundamental;2025-09-30 00:47:30
536;231310;professor de educação artística do ensino fundamental;2025-09-30 00:47:30
537;231315;professor de educação física do ensino fundamental;2025-09-30 00:47:30
538;231320;professor de geografia do ensino fundamental;2025-09-30 00:47:30
539;231325;professor de história do ensino fundamental;2025-09-30 00:47:30
540;231330;professor de língua estrangeira moderna do ensino fundamental;2025-09-30 00:47:30
541;231335;professor de língua portuguesa do ensino fundamental;2025-09-30 00:47:30
542;231340;professor de matemática do ensino fundamental;2025-09-30 00:47:30
543;232105;professor de artes no ensino médio;2025-09-30 00:47:30
544;232110;professor de biologia no ensino médio;2025-09-30 00:47:30
545;232115;professor de disciplinas pedagógicas no ensino médio;2025-09-30 00:47:30
546;232120;professor de educação física no ensino médio;2025-09-30 00:47:30
547;232125;professor de filosofia no ensino médio;2025-09-30 00:47:30
548;232130;professor de física no ensino médio;2025-09-30 00:47:30
549;232135;professor de geografia no ensino médio;2025-09-30 00:47:30
550;232140;professor de história no ensino médio;2025-09-30 00:47:30
551;232145;professor de língua e literatura brasileira no ensino médio;2025-09-30 00:47:30
552;232150;professor de língua estrangeira moderna no ensino médio;2025-09-30 00:47:30
553;232155;professor de matemática no ensino médio;2025-09-30 00:47:30
554;232160;professor de psicologia no ensino médio;2025-09-30 00:47:30
555;232165;professor de química no ensino médio;2025-09-30 00:47:30
556;232170;professor de sociologia no ensino médio;2025-09-30 00:47:30
557;233105;professor da área de meio ambiente;2025-09-30 00:47:30
558;233110;professor de desenho técnico;2025-09-30 00:47:30
559;233115;professor de técnicas agrícolas;2025-09-30 00:47:30
560;233120;professor de técnicas comerciais e secretariais;2025-09-30 00:47:30
561;233125;professor de técnicas de enfermagem;2025-09-30 00:47:30
562;233130;professor de técnicas industriais;2025-09-30 00:47:30
563;233135;professor de tecnologia e cálculo técnico;2025-09-30 00:47:30
564;233205;instrutor de aprendizagem e treinamento agropecuário;2025-09-30 00:47:30
565;233210;instrutor de aprendizagem e treinamento industrial;2025-09-30 00:47:30
566;233215;instrutor de aprendizagem e treinamento comercial;2025-09-30 00:47:30
567;233220;professor instrutor de ensino e aprendizagem agroflorestal;2025-09-30 00:47:30
568;233225;professor instrutor de ensino e aprendizagem em serviços;2025-09-30 00:47:30
569;234105;professor de matemática aplicada (no ensino superior);2025-09-30 00:47:30
570;234110;professor de matemática pura (no ensino superior);2025-09-30 00:47:30
571;234115;professor de estatística (no ensino superior);2025-09-30 00:47:30
572;234120;professor de computação (no ensino superior);2025-09-30 00:47:30
573;234125;professor de pesquisa operacional (no ensino superior);2025-09-30 00:47:30
574;234205;professor de física (ensino superior);2025-09-30 00:47:30
575;234210;professor de química (ensino superior);2025-09-30 00:47:30
576;234215;professor de astronomia (ensino superior);2025-09-30 00:47:30
577;234305;professor de arquitetura;2025-09-30 00:47:30
578;234310;professor de engenharia;2025-09-30 00:47:30
579;234315;professor de geofísica;2025-09-30 00:47:30
580;234320;professor de geologia;2025-09-30 00:47:30
581;234405;professor de ciências biológicas do ensino superior;2025-09-30 00:47:30
582;234410;professor de educação física no ensino superior;2025-09-30 00:47:30
583;234415;professor de enfermagem do ensino superior;2025-09-30 00:47:30
584;234420;professor de farmácia e bioquímica;2025-09-30 00:47:30
585;234425;professor de fisioterapia;2025-09-30 00:47:30
586;234430;professor de fonoaudiologia;2025-09-30 00:47:30
587;234435;professor de medicina;2025-09-30 00:47:30
588;234440;professor de medicina veterinária;2025-09-30 00:47:30
589;234445;professor de nutrição;2025-09-30 00:47:30
590;234450;professor de odontologia;2025-09-30 00:47:30
591;234455;professor de terapia ocupacional;2025-09-30 00:47:30
592;234460;professor de zootecnia do ensino superior;2025-09-30 00:47:30
593;234505;professor de ensino superior na área de didática;2025-09-30 00:47:30
594;234510;professor de ensino superior na área de orientação educacional;2025-09-30 00:47:30
595;234515;professor de ensino superior na área de pesquisa educacional;2025-09-30 00:47:30
596;234520;professor de ensino superior na área de prática de ensino;2025-09-30 00:47:30
597;234604;professor de língua alemã;2025-09-30 00:47:30
598;234608;professor de língua italiana;2025-09-30 00:47:30
599;234612;professor de língua francesa;2025-09-30 00:47:30
600;234616;professor de língua inglesa;2025-09-30 00:47:30
601;234620;professor de língua espanhola;2025-09-30 00:47:30
602;234624;professor de língua portuguesa;2025-09-30 00:47:30
603;234628;professor de literatura brasileira;2025-09-30 00:47:30
604;234632;professor de literatura portuguesa;2025-09-30 00:47:30
605;234636;professor de literatura alemã;2025-09-30 00:47:30
606;234640;professor de literatura comparada;2025-09-30 00:47:30
607;234644;professor de literatura espanhola;2025-09-30 00:47:30
608;234648;professor de literatura francesa;2025-09-30 00:47:30
609;234652;professor de literatura inglesa;2025-09-30 00:47:30
610;234656;professor de literatura italiana;2025-09-30 00:47:30
611;234660;professor de literatura de línguas estrangeiras modernas;2025-09-30 00:47:30
612;234664;professor de outras línguas e literaturas;2025-09-30 00:47:30
613;234668;professor de línguas estrangeiras modernas;2025-09-30 00:47:30
614;234672;professor de lingüística e lingüística aplicada;2025-09-30 00:47:30
615;234676;professor de filologia e crítica textual;2025-09-30 00:47:30
616;234680;professor de semiótica;2025-09-30 00:47:30
617;234684;professor de teoria da literatura;2025-09-30 00:47:30
618;234689;professor de língua brasileira de sinais (libras);2025-09-30 00:47:30
619;234705;professor de antropologia do ensino superior;2025-09-30 00:47:30
620;234710;professor de arquivologia do ensino superior;2025-09-30 00:47:30
621;234715;professor de biblioteconomia do ensino superior;2025-09-30 00:47:30
622;234720;professor de ciência política do ensino superior;2025-09-30 00:47:30
623;234725;professor de comunicação social do ensino superior;2025-09-30 00:47:30
624;234730;professor de direito do ensino superior;2025-09-30 00:47:30
625;234735;professor de filosofia do ensino superior;2025-09-30 00:47:30
626;234740;professor de geografia do ensino superior;2025-09-30 00:47:30
627;234745;professor de história do ensino superior;2025-09-30 00:47:30
628;234750;professor de jornalismo;2025-09-30 00:47:30
629;234755;professor de museologia do ensino superior;2025-09-30 00:47:30
630;234760;professor de psicologia do ensino superior;2025-09-30 00:47:30
631;234765;professor de serviço social do ensino superior;2025-09-30 00:47:30
632;234770;professor de sociologia do ensino superior;2025-09-30 00:47:30
633;234805;professor de economia;2025-09-30 00:47:30
634;234810;professor de administração;2025-09-30 00:47:30
635;234815;professor de contabilidade;2025-09-30 00:47:30
636;234905;professor de artes do espetáculo no ensino superior;2025-09-30 00:47:30
637;234910;professor de artes visuais no ensino superior (artes plásticas e multimídia);2025-09-30 00:47:30
638;234915;professor de música no ensino superior;2025-09-30 00:47:30
639;239205;professor de alunos com deficiência auditiva e surdos;2025-09-30 00:47:30
640;239210;professor de alunos com deficiência física;2025-09-30 00:47:30
641;239215;professor de alunos com deficiência mental;2025-09-30 00:47:30
642;239220;professor de alunos com deficiência múltipla;2025-09-30 00:47:30
643;239225;professor de alunos com deficiência visual;2025-09-30 00:47:30
644;239405;coordenador pedagógico;2025-09-30 00:47:30
645;239410;orientador educacional;2025-09-30 00:47:30
646;239415;pedagogo;2025-09-30 00:47:30
647;239420;professor de técnicas e recursos audiovisuais;2025-09-30 00:47:30
648;239425;psicopedagogo;2025-09-30 00:47:30
649;239430;supervisor de ensino;2025-09-30 00:47:30
650;239435;designer educacional;2025-09-30 00:47:30
651;239440;neuropsicopedagogo clinico;2025-09-30 00:47:30
652;239445;neuropsicopedagogo institucional;2025-09-30 00:47:30
653;241005;advogado;2025-09-30 00:47:30
654;241010;advogado de empresa;2025-09-30 00:47:30
655;241015;advogado (direito civil);2025-09-30 00:47:30
656;241020;advogado (direito público);2025-09-30 00:47:30
657;241025;advogado (direito penal);2025-09-30 00:47:30
658;241030;advogado (áreas especiais);2025-09-30 00:47:30
659;241035;advogado (direito do trabalho);2025-09-30 00:47:30
660;241040;consultor jurídico;2025-09-30 00:47:30
661;241205;advogado da união;2025-09-30 00:47:30
662;241210;procurador autárquico;2025-09-30 00:47:30
663;241215;procurador da fazenda nacional;2025-09-30 00:47:30
664;241220;procurador do estado;2025-09-30 00:47:30
665;241225;procurador do município;2025-09-30 00:47:30
666;241230;procurador federal;2025-09-30 00:47:30
667;241235;procurador fundacional;2025-09-30 00:47:30
668;241305;oficial de registro de contratos marítimos;2025-09-30 00:47:30
669;241310;oficial do registro civil de pessoas jurídicas;2025-09-30 00:47:30
670;241315;oficial do registro civil de pessoas naturais;2025-09-30 00:47:30
671;241320;oficial do registro de distribuições;2025-09-30 00:47:30
672;241325;oficial do registro de imóveis;2025-09-30 00:47:30
673;241330;oficial do registro de títulos e documentos;2025-09-30 00:47:30
674;241335;tabelião de notas;2025-09-30 00:47:30
675;241340;tabelião de protestos;2025-09-30 00:47:30
676;241405;conselheiro julgador;2025-09-30 00:47:30
677;242205;procurador da república;2025-09-30 00:47:30
678;242210;procurador de justiça;2025-09-30 00:47:30
679;242215;procurador de justiça militar;2025-09-30 00:47:30
680;242220;procurador do trabalho;2025-09-30 00:47:30
681;242225;procurador regional da república;2025-09-30 00:47:30
682;242230;procurador regional do trabalho;2025-09-30 00:47:30
683;242235;promotor de justiça;2025-09-30 00:47:30
684;242240;subprocurador de justiça militar;2025-09-30 00:47:30
685;242245;subprocurador-geral da república;2025-09-30 00:47:30
686;242250;subprocurador-geral do trabalho;2025-09-30 00:47:30
687;242305;delegado de polícia;2025-09-30 00:47:30
688;242405;defensor público;2025-09-30 00:47:30
689;242410;procurador da assistência judiciária;2025-09-30 00:47:30
690;242905;oficial de inteligência;2025-09-30 00:47:30
691;242910;oficial técnico de inteligência;2025-09-30 00:47:30
692;251105;antropólogo;2025-09-30 00:47:30
693;251110;arqueólogo;2025-09-30 00:47:30
694;251115;cientista político;2025-09-30 00:47:30
695;251120;sociólogo;2025-09-30 00:47:30
696;251205;economista;2025-09-30 00:47:30
697;251210;economista agroindustrial;2025-09-30 00:47:30
698;251215;economista financeiro;2025-09-30 00:47:30
699;251220;economista industrial;2025-09-30 00:47:30
700;251225;economista do setor público;2025-09-30 00:47:30
701;251230;economista ambiental;2025-09-30 00:47:30
702;251235;economista regional e urbano;2025-09-30 00:47:30
703;251305;geógrafo;2025-09-30 00:47:30
704;251405;filósofo;2025-09-30 00:47:30
705;251505;psicólogo educacional;2025-09-30 00:47:30
706;251510;psicólogo clínico;2025-09-30 00:47:30
707;251515;psicólogo do esporte;2025-09-30 00:47:30
708;251520;psicólogo hospitalar;2025-09-30 00:47:30
709;251525;psicólogo jurídico;2025-09-30 00:47:30
710;251530;psicólogo social;2025-09-30 00:47:30
711;251535;psicólogo do trânsito;2025-09-30 00:47:30
712;251540;psicólogo do trabalho;2025-09-30 00:47:30
713;251545;neuropsicólogo;2025-09-30 00:47:30
714;251550;psicanalista;2025-09-30 00:47:30
715;251555;psicólogo acupunturista;2025-09-30 00:47:30
716;251605;assistente social;2025-09-30 00:47:30
717;251610;economista doméstico;2025-09-30 00:47:30
718;252105;administrador;2025-09-30 00:47:30
719;252205;auditor (contadores e afins);2025-09-30 00:47:30
720;252210;contador;2025-09-30 00:47:30
721;252215;perito contábil;2025-09-30 00:47:30
722;252305;secretária(o) executiva(o);2025-09-30 00:47:30
723;252310;secretário  bilíngüe;2025-09-30 00:47:30
724;252315;secretária trilíngüe;2025-09-30 00:47:30
725;252320;tecnólogo em secretariado escolar;2025-09-30 00:47:30
726;252405;analista de recursos humanos;2025-09-30 00:47:30
727;252505;administrador de fundos e carteiras de investimento;2025-09-30 00:47:30
728;252510;analista de câmbio;2025-09-30 00:47:30
729;252515;analista de cobrança (instituições financeiras);2025-09-30 00:47:30
730;252525;analista de crédito (instituições financeiras);2025-09-30 00:47:30
731;252530;analista de crédito rural;2025-09-30 00:47:30
732;252535;analista de leasing;2025-09-30 00:47:30
733;252540;analista de produtos bancários;2025-09-30 00:47:30
734;252545;analista financeiro (instituições financeiras);2025-09-30 00:47:30
735;252550;profissional de relações com investidores;2025-09-30 00:47:30
736;252605;gestor em segurança;2025-09-30 00:47:30
737;252705;analista de pcp (programação e controle da produção);2025-09-30 00:47:30
738;252710;analista de planejamento de materias;2025-09-30 00:47:30
739;252715;analista de logistica;2025-09-30 00:47:30
740;252720;analista de projetos logisticos;2025-09-30 00:47:30
741;252725;analista de gestão de estoque;2025-09-30 00:47:30
742;253110;redator de publicidade;2025-09-30 00:47:30
743;253115;publicitário;2025-09-30 00:47:30
744;253120;diretor de mídia (publicidade);2025-09-30 00:47:30
745;253125;diretor de arte (publicidade);2025-09-30 00:47:30
746;253130;diretor de criação;2025-09-30 00:47:30
747;253135;diretor de contas (publicidade);2025-09-30 00:47:30
748;253140;agenciador de propaganda;2025-09-30 00:47:30
749;253205;gerente de captação (fundos e investimentos institucionais);2025-09-30 00:47:30
750;253210;gerente de clientes especiais (private);2025-09-30 00:47:30
751;253215;gerente de contas - pessoa física e jurídica;2025-09-30 00:47:30
752;253220;gerente de grandes contas (corporate);2025-09-30 00:47:30
753;253225;operador de negócios;2025-09-30 00:47:30
754;253305;corretor de valores, ativos financeiros, mercadorias e derivativos;2025-09-30 00:47:30
755;253405;analista de mídias sociais;2025-09-30 00:47:30
756;253410;influenciador digital;2025-09-30 00:47:30
757;254105;auditor-fiscal da receita federal;2025-09-30 00:47:30
758;254110;técnico da receita federal;2025-09-30 00:47:30
759;254205;auditor-fiscal da previdência social;2025-09-30 00:47:30
760;254305;auditor-fiscal do trabalho;2025-09-30 00:47:30
761;254310;agente de higiene e segurança;2025-09-30 00:47:30
762;254405;fiscal de tributos estadual;2025-09-30 00:47:30
763;254410;fiscal de tributos municipal;2025-09-30 00:47:30
764;254415;técnico de tributos estadual;2025-09-30 00:47:30
765;254420;técnico de tributos municipal;2025-09-30 00:47:30
766;254505;fiscal de atividades urbanas;2025-09-30 00:47:30
767;261105;arquivista pesquisador (jornalismo);2025-09-30 00:47:30
768;261110;assessor de imprensa;2025-09-30 00:47:30
769;261115;diretor de redação;2025-09-30 00:47:30
770;261120;editor;2025-09-30 00:47:30
771;261125;jornalista;2025-09-30 00:47:30
772;261130;produtor de texto;2025-09-30 00:47:30
773;261135;repórter (exclusive rádio e televisão);2025-09-30 00:47:30
774;261140;revisor de texto;2025-09-30 00:47:30
775;261205;bibliotecário;2025-09-30 00:47:30
776;261210;documentalista;2025-09-30 00:47:30
777;261215;analista de informações (pesquisador de informações de rede);2025-09-30 00:47:30
778;261305;arquivista;2025-09-30 00:47:30
779;261310;museólogo;2025-09-30 00:47:30
780;261405;filólogo;2025-09-30 00:47:30
781;261410;intérprete;2025-09-30 00:47:30
782;261415;lingüista;2025-09-30 00:47:30
783;261420;tradutor;2025-09-30 00:47:30
784;261425;intérprete de língua de sinais;2025-09-30 00:47:30
785;261430;audiodescritor;2025-09-30 00:47:30
786;261505;autor-roteirista;2025-09-30 00:47:30
787;261510;crítico;2025-09-30 00:47:30
788;261515;escritor de ficção;2025-09-30 00:47:30
789;261520;escritor de não ficção;2025-09-30 00:47:30
790;261525;poeta;2025-09-30 00:47:30
791;261530;redator de textos técnicos;2025-09-30 00:47:30
792;261605;editor de jornal;2025-09-30 00:47:30
793;261610;editor de livro;2025-09-30 00:47:30
794;261615;editor de mídia eletrônica;2025-09-30 00:47:30
795;261620;editor de revista;2025-09-30 00:47:30
796;261625;editor de revista científica;2025-09-30 00:47:30
797;261705;âncora de mídias audiovisuais;2025-09-30 00:47:30
798;261710;comentarista de mídias audiovisuais;2025-09-30 00:47:30
799;261715;locutor de mídias audiovisuais;2025-09-30 00:47:30
800;261730;repórter de mídias audiovisuais;2025-09-30 00:47:30
801;261805;fotógrafo;2025-09-30 00:47:30
802;261810;fotógrafo publicitário;2025-09-30 00:47:30
803;261815;fotógrafo retratista;2025-09-30 00:47:30
804;261820;repórter fotográfico;2025-09-30 00:47:30
805;261905;continuista;2025-09-30 00:47:30
806;261910;assistente de direção (tv);2025-09-30 00:47:30
807;262105;produtor cultural;2025-09-30 00:47:30
808;262110;produtor cinematográfico;2025-09-30 00:47:30
809;262115;produtor de rádio;2025-09-30 00:47:30
810;262120;produtor de teatro;2025-09-30 00:47:30
811;262125;produtor de televisão;2025-09-30 00:47:30
812;262130;tecnólogo em produção fonográfica;2025-09-30 00:47:30
813;262135;tecnólogo em produção audiovisual;2025-09-30 00:47:30
814;262205;diretor de cinema;2025-09-30 00:47:30
815;262210;diretor de programas de rádio;2025-09-30 00:47:30
816;262215;diretor de programas de televisão;2025-09-30 00:47:30
817;262220;diretor teatral;2025-09-30 00:47:30
818;262225;diretor de programação;2025-09-30 00:47:30
819;262230;diretor de produção;2025-09-30 00:47:30
820;262235;diretor artistíco;2025-09-30 00:47:30
821;262305;cenógrafo carnavalesco e festas populares;2025-09-30 00:47:30
822;262310;cenógrafo de cinema;2025-09-30 00:47:30
823;262315;cenógrafo de eventos;2025-09-30 00:47:30
824;262320;cenógrafo de teatro;2025-09-30 00:47:30
825;262325;cenógrafo de tv;2025-09-30 00:47:30
826;262330;diretor de arte;2025-09-30 00:47:30
827;262405;artista (artes visuais);2025-09-30 00:47:30
828;262410;desenhista industrial gráfico (designer gráfico);2025-09-30 00:47:30
829;262415;conservador-restaurador de bens  culturais;2025-09-30 00:47:30
830;262420;desenhista industrial de produto (designer de produto);2025-09-30 00:47:30
831;262425;desenhista industrial de produto de moda (designer de moda);2025-09-30 00:47:30
832;262505;ator;2025-09-30 00:47:30
833;262605;compositor;2025-09-30 00:47:30
834;262610;músico arranjador;2025-09-30 00:47:30
835;262615;músico regente;2025-09-30 00:47:30
836;262620;musicólogo;2025-09-30 00:47:30
837;262705;músico intérprete cantor;2025-09-30 00:47:30
838;262710;músico intérprete instrumentista;2025-09-30 00:47:30
839;262805;assistente de coreografia;2025-09-30 00:47:30
840;262810;bailarino (exceto danças populares);2025-09-30 00:47:30
841;262815;coreógrafo;2025-09-30 00:47:30
842;262820;dramaturgo de dança;2025-09-30 00:47:30
843;262825;ensaiador de dança;2025-09-30 00:47:30
844;262830;professor de dança;2025-09-30 00:47:30
845;262905;decorador de interiores de nível superior;2025-09-30 00:47:30
846;263105;ministro de culto religioso;2025-09-30 00:47:30
847;263110;missionário;2025-09-30 00:47:30
848;263115;teólogo;2025-09-30 00:47:30
849;271105;chefe de cozinha;2025-09-30 00:47:30
850;271110;tecnólogo em gastronomia;2025-09-30 00:47:30
851;300105;técnico em mecatrônica - automação da manufatura;2025-09-30 00:47:30
852;300110;técnico em mecatrônica - robótica;2025-09-30 00:47:30
853;300305;técnico em eletromecânica;2025-09-30 00:47:30
854;301105;técnico de laboratório industrial;2025-09-30 00:47:30
855;301110;técnico de laboratório de análises físico-químicas (materiais de construção);2025-09-30 00:47:30
856;301115;técnico químico de petróleo;2025-09-30 00:47:30
857;301205;técnico de apoio à bioengenharia;2025-09-30 00:47:30
858;311105;técnico químico;2025-09-30 00:47:30
859;311110;técnico de celulose e papel;2025-09-30 00:47:30
860;311115;técnico em curtimento;2025-09-30 00:47:30
861;311205;técnico em petroquímica;2025-09-30 00:47:30
862;311305;técnico em materiais, produtos cerâmicos e vidros;2025-09-30 00:47:30
863;311405;técnico em borracha;2025-09-30 00:47:30
864;311410;técnico em plástico;2025-09-30 00:47:30
865;311505;técnico de controle de meio ambiente;2025-09-30 00:47:30
866;311510;técnico de meteorologia;2025-09-30 00:47:30
867;311515;técnico de utilidade (produção e distribuição de vapor, gases, óleos, combustíveis, energia);2025-09-30 00:47:30
868;311520;técnico em tratamento de efluentes;2025-09-30 00:47:30
869;311605;técnico têxtil;2025-09-30 00:47:30
870;311610;técnico têxtil (tratamentos químicos);2025-09-30 00:47:30
871;311615;técnico têxtil de fiação;2025-09-30 00:47:30
872;311620;técnico têxtil de malharia;2025-09-30 00:47:30
873;311625;técnico têxtil de tecelagem;2025-09-30 00:47:30
874;311705;colorista de papel;2025-09-30 00:47:30
875;311710;colorista têxtil;2025-09-30 00:47:30
876;311715;preparador de tintas;2025-09-30 00:47:30
877;311720;preparador de tintas (fábrica de tecidos);2025-09-30 00:47:30
878;311725;tingidor de couros e peles;2025-09-30 00:47:30
879;312105;técnico de obras civis;2025-09-30 00:47:30
880;312205;técnico de estradas;2025-09-30 00:47:30
881;312210;técnico de saneamento;2025-09-30 00:47:30
882;312305;técnico em agrimensura;2025-09-30 00:47:30
883;312310;técnico em geodésia e cartografia;2025-09-30 00:47:30
884;312315;técnico em hidrografia;2025-09-30 00:47:30
885;312320;topógrafo;2025-09-30 00:47:30
886;313105;eletrotécnico;2025-09-30 00:47:30
887;313110;eletrotécnico (produção de energia);2025-09-30 00:47:30
888;313115;eletrotécnico na fabricação, montagem e instalação de máquinas e equipamentos;2025-09-30 00:47:30
889;313120;técnico de manutenção elétrica;2025-09-30 00:47:30
890;313125;técnico de manutenção elétrica de máquina;2025-09-30 00:47:30
891;313130;técnico eletricista;2025-09-30 00:47:30
892;313205;técnico de manutenção eletrônica;2025-09-30 00:47:30
893;313210;técnico de manutenção eletrônica (circuitos de máquinas com comando numérico);2025-09-30 00:47:30
894;313215;técnico eletrônico;2025-09-30 00:47:30
895;313220;técnico em manutenção de equipamentos de informática;2025-09-30 00:47:30
896;313305;técnico de comunicação de dados;2025-09-30 00:47:30
897;313310;técnico de rede (telecomunicações);2025-09-30 00:47:30
898;313315;técnico de telecomunicações (telefonia);2025-09-30 00:47:30
899;313320;técnico de transmissão (telecomunicações);2025-09-30 00:47:30
900;313405;técnico em calibração;2025-09-30 00:47:30
901;313410;técnico em instrumentação;2025-09-30 00:47:30
902;313415;encarregado de manutenção de instrumentos de controle, medição e similares;2025-09-30 00:47:30
903;313505;técnico em fotônica;2025-09-30 00:47:30
904;314105;técnico em mecânica de precisão;2025-09-30 00:47:30
905;314110;técnico mecânico;2025-09-30 00:47:30
906;314115;técnico mecânico (calefação, ventilação e refrigeração);2025-09-30 00:47:30
907;314120;técnico mecânico (máquinas);2025-09-30 00:47:30
908;314125;técnico mecânico (motores);2025-09-30 00:47:30
909;314205;técnico mecânico na fabricação de ferramentas;2025-09-30 00:47:30
910;314210;técnico mecânico na manutenção de ferramentas;2025-09-30 00:47:30
911;314305;técnico em automobilística;2025-09-30 00:47:30
912;314310;técnico mecânico (aeronaves);2025-09-30 00:47:30
913;314315;técnico mecânico (embarcações);2025-09-30 00:47:30
914;314405;técnico de manutenção de sistemas e instrumentos;2025-09-30 00:47:30
915;314410;técnico em manutenção de máquinas;2025-09-30 00:47:30
916;314610;técnico em caldeiraria;2025-09-30 00:47:30
917;314615;técnico em estruturas metálicas;2025-09-30 00:47:30
918;314620;técnico em soldagem;2025-09-30 00:47:30
919;314625;tecnólogo em soldagem;2025-09-30 00:47:30
920;314705;técnico de acabamento em siderurgia;2025-09-30 00:47:30
921;314710;técnico de aciaria em siderurgia;2025-09-30 00:47:30
922;314715;técnico de fundição em siderurgia;2025-09-30 00:47:30
923;314720;técnico de laminação em siderurgia;2025-09-30 00:47:30
924;314725;técnico de redução na siderurgia (primeira fusão);2025-09-30 00:47:30
925;314730;técnico de refratário em siderurgia;2025-09-30 00:47:30
926;314805;inspetor de equipamentos;2025-09-30 00:47:30
