sk_ocupacao;cd_ocupacao;ds_ocupacao;dt_carga
105;123705;diretor de pesquisa e desenvolvimento (p&d);2025-09-30 00:47:30
106;123805;diretor de manutenção;2025-09-30 00:47:30
107;131105;diretor de serviços culturais;2025-09-30 00:47:30
108;131110;diretor de serviços sociais;2025-09-30 00:47:30
109;131115;gerente de serviços culturais;2025-09-30 00:47:30
110;131120;gerente de serviços sociais;2025-09-30 00:47:30
111;131205;diretor de serviços de saúde;2025-09-30 00:47:30
112;131210;gerente de serviços de saúde;2025-09-30 00:47:30
113;131215;tecnólogo em gestão hospitalar;2025-09-30 00:47:30
114;131220;gerontólogo;2025-09-30 00:47:30
115;131225;sanitarista;2025-09-30 00:47:30
116;131305;diretor de instituição educacional da área privada;2025-09-30 00:47:30
117;131310;diretor de instituição educacional pública;2025-09-30 00:47:30
118;131315;gerente de instituição educacional da área privada;2025-09-30 00:47:30
119;131320;gerente de serviços educacionais da área pública;2025-09-30 00:47:30
120;141105;gerente de produção e operações  aqüícolas;2025-09-30 00:47:30
121;141110;gerente de produção e operações  florestais;2025-09-30 00:47:30
122;141115;gerente de produção e operações agropecuárias;2025-09-30 00:47:30
123;141120;gerente de produção e operações pesqueiras;2025-09-30 00:47:30
124;141205;gerente de produção e operações;2025-09-30 00:47:30
125;141305;gerente de produção e operações da construção civil e obras públicas;2025-09-30 00:47:30
126;141405;comerciante atacadista;2025-09-30 00:47:30
127;141410;comerciante varejista;2025-09-30 00:47:30
128;141415;gerente de loja e supermercado;2025-09-30 00:47:30
129;141420;gerente de operações de serviços de assistência técnica;2025-09-30 00:47:30
130;141505;gerente de hotel;2025-09-30 00:47:30
131;141510;gerente de restaurante;2025-09-30 00:47:30
132;141515;gerente de bar;2025-09-30 00:47:30
133;141520;gerente de pensão;2025-09-30 00:47:30
134;141525;gerente de turismo;2025-09-30 00:47:30
135;141605;gerente de operações de transportes;2025-09-30 00:47:30
136;141610;gerente de operações de correios e telecomunicações;2025-09-30 00:47:30
137;141615;gerente de logística (armazenagem e distribuição);2025-09-30 00:47:30
138;141705;gerente de produtos bancários;2025-09-30 00:47:30
139;141710;gerente de agência;2025-09-30 00:47:30
140;141715;gerente de câmbio e comércio exterior;2025-09-30 00:47:30
141;141720;gerente de crédito e cobrança;2025-09-30 00:47:30
142;141725;gerente de crédito imobiliário;2025-09-30 00:47:30
143;141730;gerente de crédito rural;2025-09-30 00:47:30
144;141735;gerente de recuperação de crédito;2025-09-30 00:47:30
145;141805;gerente de administração em aeroportos;2025-09-30 00:47:30
146;141810;gerente de empresa aérea e empresa de serviços auxiliares ao transporte aéreo (esata) em aeroportos;2025-09-30 00:47:30
147;141815;gerente de operações em aeroportos;2025-09-30 00:47:30
148;141820;gerente de operações de cargas;2025-09-30 00:47:30
149;141825;gerente de segurança da aviação civil;2025-09-30 00:47:30
150;141830;gerente de segurança operacional (aviação civil);2025-09-30 00:47:30
151;142105;gerente administrativo;2025-09-30 00:47:30
152;142110;gerente de riscos;2025-09-30 00:47:30
153;142115;gerente financeiro;2025-09-30 00:47:30
154;142120;tecnólogo em gestão administrativo- financeira;2025-09-30 00:47:30
155;142125;analista de compliance;2025-09-30 00:47:30
156;142130;analista de riscos;2025-09-30 00:47:30
157;142135;oficial de proteção de dados pessoais (dpo);2025-09-30 00:47:30
158;142140;gerente de facility management;2025-09-30 00:47:30
159;142205;gerente de recursos humanos;2025-09-30 00:47:30
160;142210;gerente de departamento pessoal;2025-09-30 00:47:30
161;142305;gerente comercial;2025-09-30 00:47:30
162;142310;gerente de comunicação;2025-09-30 00:47:30
163;142315;gerente de marketing;2025-09-30 00:47:30
164;142320;gerente de vendas;2025-09-30 00:47:30
165;142325;relações públicas;2025-09-30 00:47:30
166;142330;analista de negócios;2025-09-30 00:47:30
167;142335;analista de pesquisa de mercado;2025-09-30 00:47:30
168;142340;ouvidor;2025-09-30 00:47:30
169;142345;profissional de relações institucionais e governamentais;2025-09-30 00:47:30
170;142350;profissonal de relações internacionais;2025-09-30 00:47:30
